City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Lynn,Essex,42.4644,-70.9485,MA,0.08,0.06,0.07,0.08,0.12,0.15,0.12,0.12,0.11,0.06,0.03,0.49,0.51
Lynnfield,Essex,42.5389,-71.0486,MA,0.07,0.06,0.07,0.07,0.08,0.1,0.14,0.16,0.12,0.07,0.06,0.52,0.48
Malden,Middlesex,42.425,-71.0667,MA,0.05,0.07,0.04,0.04,0.2,0.18,0.12,0.13,0.09,0.05,0.03,0.52,0.48
Manchester-by-the-Sea,Essex,42.5754,-70.7718,MA,0.04,0.04,0.07,0.1,0.06,0.07,0.14,0.17,0.16,0.11,0.04,0.5,0.5
Mansfield,Bristol,42.0333,-71.2194,MA,0.05,0.06,0.07,0.07,0.14,0.12,0.15,0.17,0.1,0.05,0.02,0.5,0.5
Marblehead,Essex,42.4957,-70.8633,MA,0.05,0.06,0.07,0.08,0.05,0.07,0.16,0.17,0.14,0.1,0.05,0.53,0.47
Marion,Plymouth,41.7174,-70.7723,MA,0.03,0.07,0.06,0.09,0.05,0.08,0.13,0.16,0.13,0.13,0.07,0.52,0.48
Marlborough,Middlesex,42.3458,-71.5528,MA,0.06,0.06,0.05,0.06,0.13,0.14,0.14,0.15,0.11,0.06,0.04,0.52,0.48
Marshfield,Plymouth,42.0917,-70.7061,MA,0.06,0.06,0.06,0.06,0.09,0.11,0.14,0.17,0.12,0.09,0.04,0.52,0.48
Mashpee,Barnstable,41.649,-70.4812,MA,0.04,0.05,0.04,0.05,0.11,0.09,0.08,0.16,0.18,0.13,0.07,0.54,0.46
Mattapoisett,Plymouth,41.6583,-70.8167,MA,0.02,0.04,0.05,0.06,0.08,0.09,0.09,0.18,0.22,0.1,0.07,0.51,0.49
Maynard,Middlesex,42.4303,-71.4605,MA,0.06,0.05,0.06,0.05,0.09,0.15,0.14,0.18,0.11,0.07,0.04,0.51,0.49
Medfield,Norfolk,42.1875,-71.3069,MA,0.07,0.08,0.07,0.1,0.06,0.1,0.14,0.19,0.1,0.06,0.03,0.5,0.5
Medford,Middlesex,42.4183,-71.1067,MA,0.02,0.07,0.04,0.05,0.21,0.17,0.11,0.13,0.11,0.05,0.04,0.51,0.49
Medway,Norfolk,42.1417,-71.3972,MA,0.05,0.07,0.06,0.1,0.09,0.12,0.14,0.18,0.1,0.06,0.03,0.54,0.46
Melrose,Middlesex,42.4583,-71.0667,MA,0.06,0.05,0.05,0.06,0.11,0.15,0.14,0.15,0.13,0.06,0.04,0.54,0.46
Mendon,Worcester,42.1054,-71.5515,MA,0.02,0.09,0.04,0.1,0.11,0.08,0.13,0.2,0.15,0.06,0.02,0.51,0.49
